from,to
77,79
12,140
95,140
25,184
101,243
78,257
247,270
175,273
79,277
207,279
80,282
254,300
204,309
94,325
95,328
268,332
300,359
70,362
154,362
81,369
150,394
3,404
376,409
168,413
294,415
150,424
394,424
99,427
368,437
388,459
77,476
206,484
249,487
392,497
16,503
268,514
332,514
364,519
269,524
515,525
441,528
25,544
184,544
102,549
529,553
389,563
420,568
289,569
371,570
550,572
417,575
344,589
89,597
392,617
497,617
661,693
85,694
609,695
671,702
175,707
273,707
416,713
23,719
239,722
70,724
154,724
362,724
199,725
204,731
309,731
233,741
289,743
569,743
674,755
200,767
95,769
140,769
760,776
723,805
772,805
791,808
692,814
770,816
775,817
730,822
70,827
154,827
362,827
724,827
790,828
779,830
634,831
207,832
279,832
826,840
389,842
563,842
790,844
828,844
790,851
844,851
388,853
459,853
200,855
767,855
285,862
774,863
91,870
167,896
854,901
890,944
887,949
550,957
572,957
951,966
674,983
755,983
953,989
693,1000
987,1001
880,1023
984,1030
95,1035
798,1037
772,1041
384,1048
1011,1058
962,1094
962,1102
1094,1102
1119,1136
44,1141
929,1156
248,1158
1131,1169
134,1185
805,1185
961,1188
1140,1194
1063,1220
140,1224
1165,1231
951,1233
966,1233
634,1235
831,1235
1119,1249
1136,1249
1063,1261
1220,1261
726,1266
951,1275
966,1275
1233,1275
938,1278
388,1287
459,1287
853,1287
108,1289
25,1292
184,1292
544,1292
116,1293
1218,1303
1204,1316
1021,1370
431,1381
1302,1382
793,1389
308,1391
705,1394
1360,1412
12,1460
134,1460
140,1460
723,1460
805,1460
1185,1460
886,1468
655,1474
475,1482
1388,1493
1458,1495
661,1509
693,1509
1000,1509
922,1510
1345,1516
985,1525
118,1529
986,1532
1085,1544
583,1575
1060,1592
1588,1603
1602,1605
168,1631
413,1631
1559,1637
849,1642
554,1643
787,1654
1439,1662
1063,1712
1220,1712
1261,1712
456,1714
984,1775
1030,1775
247,1776
270,1776
1232,1803
1782,1826
248,1835
1029,1835
519,1838
136,1858
1276,1880
914,1882
1480,1886
1243,1890
820,1895
467,1900
574,1930
995,1936
1210,1944
1629,1965
12,1981
140,1981
962,1983
1094,1983
1102,1983
1738,1995
790,2029
828,2029
844,2029
851,2029
1884,2073
461,2118
1388,2125
269,2138
524,2138
1803,2177
799,2188
166,2235
1118,2242
1719,2314
857,2413
464,2446
2239,2544
785,2564
829,2567
1321,2575
805,2622
2135,2722
1903,2731
1835,2766
2003,2805
1123,2821
601,2845
903,2922
2010,2989
2983,2999
790,3009
828,3009
844,3009
851,3009
2029,3009
12,3093
140,3093
347,3093
1035,3093
866,3143
539,3178
2943,3185
987,3195
1001,3195
792,3201
1719,3208
2314,3208
1380,3213
1756,3213
3093,3213
1045,3216
1185,3224
25,3242
184,3242
544,3242
1292,3242
236,3263
818,3266
44,3273
1806,3273
1835,3297
3082,3304
578,3350
423,3356
1884,3376
2073,3376
1727,3382
2722,3405
2228,3414
1806,3458
1835,3458
3224,3501
834,3506
1194,3538
3093,3554
857,3598
2413,3598
3383,3602
1835,3642
3554,3643
384,3659
1048,3659
1935,3660
95,3674
1756,3674
2506,3674
3093,3674
3213,3674
