song_id,artist_name,track_name,release_date,genre,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic
2,frankie laine,i believe,1950,pop,0.256,0.036,0.097,0.443,0.001,0.001,0.027,0.001,0.001,0.001,0.118,0.001,0.213,0.051,0.001,0.001,0.001,0.332,0.648,0.955,0,0.325,0.263,world/life
3,johnnie ray,cry,1950,pop,0.121,0.003,0.003,0.003,0.003,0.003,0.003,0.159,0.251,0.003,0.324,0.003,0.003,0.003,0.003,0.003,0.225,0.456,0.585,0.84,0,0.352,0.139,music
6,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,0.492,0.001,0.421,0.001,0.074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.172,0.001,0.001,0.128,0.001,0.689,0.686,0.899,0,0.768,0.55,violence
8,johnny mathis,it's not for me to say,1950,pop,0.106,0.003,0.003,0.336,0.003,0.003,0.003,0.177,0.003,0.003,0.003,0.003,0.387,0.003,0.003,0.063,0.003,0.379,0.529,0.926,0,0.373,0.192,world/life
11,the chordettes,carolina moon,1951,pop,0.191,0.002,0.002,0.002,0.397,0.002,0.002,0.002,0.066,0.002,0.094,0.002,0.418,0.002,0.002,0.002,0.002,0.266,0.622,0.989,0,0.059,0.111,night/time
12,frankie laine,necessary evil,1951,pop,0.869,0.001,0.244,0.084,0.001,0.013,0.022,0.001,0.109,0.459,0.001,0.001,0.001,0.001,0.001,0.001,0.033,0.522,0.529,0.852,0,0.408,0.153,obscene
16,les paul,blue skies,1951,pop,0.216,0.001,0.001,0.001,0.066,0.001,0.001,0.001,0.001,0.001,0.601,0.001,0.249,0.001,0.001,0.001,0.064,0.635,0.605,0.992,0.847,0.462,0.284,music
17,les paul,dark eyes,1951,pop,0.915,0,0.378,0.031,0,0.025,0,0.033,0.019,0.094,0,0.136,0.059,0,0.085,0.067,0.043,0.603,0.577,0.993,0.874,0.609,0.291,violence
20,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,0.422,0.001,0.393,0.001,0.001,0.044,0.001,0.071,0.001,0.001,0.001,0.001,0.033,0.001,0.001,0.435,0.001,0.541,0.662,0.987,0,0.598,0.252,sadness
21,ghantasala,avanee nee pathi,1952,pop,0.523,0.001,0.336,0.11,0.05,0.001,0.032,0.001,0.138,0.001,0.001,0.055,0.001,0.027,0.128,0.059,0.038,0.363,0.472,0.967,0.236,0.421,0.343,violence
23,les paul,smoke rings,1952,pop,0.176,0.002,0.002,0.002,0.002,0.002,0.155,0.002,0.002,0.129,0.365,0.002,0.257,0.002,0.002,0.072,0.002,0.432,0.665,0.888,0,0.243,0.376,music
24,mukesh,hum tujhse mohabbat kar ke,1952,pop,0.367,0.001,0.001,0.001,0.001,0.001,0.018,0.075,0.033,0.001,0.384,0.001,0.144,0.001,0.001,0.001,0.083,0.701,0.707,0.861,0.005,0.6,0.199,music
